================ Training Loss (Mon Apr 25 21:57:22 2022) ================
(epoch: 147, iters: 80, time: 0.100, data: 0.436) G_GAN: 0.372 D_real: 0.266 D_fake: 0.180 G: 1.486 NCE: 1.151 NCE_Y: 1.077 
(epoch: 149, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.203 D_real: 0.350 D_fake: 0.152 G: 1.353 NCE: 1.230 NCE_Y: 1.069 
(epoch: 150, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.309 D_real: 0.202 D_fake: 0.341 G: 1.380 NCE: 1.055 NCE_Y: 1.086 
(epoch: 152, iters: 80, time: 0.100, data: 0.439) G_GAN: 0.447 D_real: 0.129 D_fake: 0.263 G: 1.745 NCE: 1.312 NCE_Y: 1.284 
(epoch: 154, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.384 D_real: 0.141 D_fake: 0.300 G: 1.473 NCE: 1.135 NCE_Y: 1.042 
(epoch: 155, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.436 D_real: 0.158 D_fake: 0.207 G: 1.515 NCE: 1.047 NCE_Y: 1.112 
(epoch: 157, iters: 80, time: 0.100, data: 0.443) G_GAN: 0.375 D_real: 0.201 D_fake: 0.183 G: 1.478 NCE: 1.053 NCE_Y: 1.152 
(epoch: 159, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.263 D_real: 0.342 D_fake: 0.162 G: 1.386 NCE: 1.196 NCE_Y: 1.049 
(epoch: 160, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.497 D_real: 0.162 D_fake: 0.378 G: 1.612 NCE: 1.096 NCE_Y: 1.136 
(epoch: 162, iters: 80, time: 0.100, data: 0.427) G_GAN: 0.232 D_real: 0.288 D_fake: 0.167 G: 1.361 NCE: 1.244 NCE_Y: 1.014 
(epoch: 164, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.452 D_real: 0.130 D_fake: 0.356 G: 1.442 NCE: 1.006 NCE_Y: 0.974 
(epoch: 165, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.869 D_real: 0.095 D_fake: 0.544 G: 2.236 NCE: 1.272 NCE_Y: 1.462 
(epoch: 167, iters: 80, time: 0.100, data: 0.460) G_GAN: 0.293 D_real: 0.301 D_fake: 0.230 G: 1.386 NCE: 1.119 NCE_Y: 1.068 
(epoch: 169, iters: 40, time: 0.100, data: 0.004) G_GAN: 0.474 D_real: 0.121 D_fake: 0.266 G: 1.628 NCE: 1.187 NCE_Y: 1.121 
(epoch: 170, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.491 D_real: 0.093 D_fake: 0.310 G: 1.569 NCE: 1.147 NCE_Y: 1.010 
